"(2004). ""Trans fatty acids - EFSA Panel reviews dietary intakes and health effects."" Ernahrungs-Umschau 51(10): 414-+."	2	"The Scientific Panel on Dietetic Products, Nutrition and Allergies of the European Food Safety Authority published an opinion relating to the presence of trans fatty acids in foods and the effect on human health of the consumption of trans fatty acids. Trans fatty acids, like saturated fatty acids, raise LDL cholesterol levels in the blood, thereby increasing the risk of coronary heart disease. The panel concluded that at equivalent dietary levels, the effect of trans fatty acids on heart health may be greater than that of saturated fatty acids. However, current intakes of trans fatty acids are generally more than 10-fold lower than those of saturated fatty acids whose intakes in many European countries exceed dietary recommendations. The NDA panel also evaluated other health effects and concluded that scientific evidence with regards to a possible relationship of trans fatty acid intake with cancer, type 2 diabetes or allergies is weak or inconsistent. Finally, the panel advised that there are no analytical methods available to distinguish between trans fatty acids from natural sources and those formed during food processing."
"Abilleira, E., et al. (2009). ""Winter/Spring Changes in Fatty Acid Composition of Farmhouse Idiazabal Cheese Due to Different Flock Management Systems."" Journal of Agricultural and Food Chemistry 57(11): 4746-4753."	0	"Typically, two different flock managements are employed by basque sheepherders in winter and spring. Thus, seasonal changes in the fatty acid (FA) composition of Idiazabal PDO farmhouse cheeses were studied. Ewe's raw milk cheeses elaborated in winter and spring were collected after 120 days of ripening from 10 Idiazabal PDO farmhouses. In winter, concentrate and conserved forages were fed, whereas a part-time grazing system was adopted from spring onward. Spring cheeses had less (P <= 0.05) saturated FA and higher (P <= 0.05) content of unsaturated FA, including trans-FA (mainly trans-vaccenic acid) and conjugated linoleic acid (CLA), branched-chain FA (BCFA), and n-3 FA. Principal component analysis (PCA) separated winter and spring cheeses into two groups by the combination of two principal components (84.2% of variance). Fresh pasture in the diet enhanced desirable FA and lowered atherogenicity index in cheeses, supporting the benefits of using a part-time grazing system for the consumer."
"Abraham, R. A., et al. (2013). ""Content of Trans Fatty Acids in Human Cheek Epithelium: Comparison with Serum and Adipose Tissue."" Biomed Research International."	0	"Studies pertaining to trans fatty acids (TFA), which have been implicated in development of chronic diseases, are more relevant in developing countries where nutrition transition is changing traditional habits and practices. Measuring TFA is an arduous task because of the need for fat biopsies. This study identifies a tissue, which can be easily accessed for analytical measurement of trans fatty acid. In this cross-sectional study, fatty acid in adipose tissue, cheek epithelium, and blood samples were assessed by gas chromatography. Spearman correlation coefficient was computed to study the correlation of fatty acid distribution among the three tissues. The correlation coefficient of total trans fatty acid between cheek epithelium and serum was 0.30(0.02) and between cheek epitheliumand adipose tissue was 0.33 (P< 0.019). This study is the first to report trans fatty acid profile in cheek epithelium giving scope for utilizing the cheek epithelium as a tissue for objective assessment of trans fatty acid intake."
"AbuMweis, S. S., et al. (2006). ""Intake of a single morning dose of standard and novel plant sterol preparations for 4 weeks does not dramatically affect plasma lipid concentrations in humans."" Journal of Nutrition 136(4): 1012-1016."	0	"Recommendations for decreasing the risk of developing cardiovascular disease include increasing the intake of plant sterols and fish oil. The cholesterol-lowering action of plant sterols, when provided in a fish-oil fatty acids vehicle, remains to be investigated in humans. A randomized, crossover-feeding, single-blind trial was conducted in 30 subjects with mild-to-mode rate hypercholesterolemia to study the effects on plasma lipids of 2 novel forms of plant sterols: those combined with, or esterified to, fish-oil fatty acids. The treatments were margarine (control), free plant sterols, plant sterols esterified to fatty acids from sunflower oil, plant sterols esterified to very long-chained fatty acids from fish oil, and plant sterols combined with the same amount of very long-chained fatty acids from fish oil. Each sterol-containing food (1.0-1.8 g plantsterols/d) was consumed for 29 das a single dose with breakfast under staff supervision. Compared with the control treatment, none of the plant sterol preparations reduced plasma total cholesterol or LDL cholesterol, triacylglycerol, apolipoprotein A-I, apolipoprotein B, lipoprotein (a), or C-reactive protein concentration. Relative to the control phase, all plant sterols treatment increased the plasma HDL cholesterol concentration (P < 0.05) by similar to 8%. In conclusion, because standard forms of plant sterols did not reduce plasma cholesterol concentrations, the efficacy of the new formulation of plant sterols cannot be confirmed from the present study design, where plant sterols were given as a single morning dose."
"Acar, N., et al. (2004). Metabolic and physiologic effects of trans fatty acids."	2	"Trans fatty acids can be found in ruminant fats, in partially hydrogenated vegetable oils and in heat-treated vegetable oils. Following some data on the worldwide consumption of trans fatty acids, this paper reviews the studies carried out on the metabolic effects of trans fatty acids. Since trans fatty acids were shown to interfere with the metabolism of essential fatty acids and the oxidative metabolism of arachidonic acid, their physiological effects on platelet aggregation, lipoprotein metabolism and neuronal function are discussed."
"Adhikari, P., et al. (2010). ""Comparative study of trans fatty acid content in 2005 and 2008 processed foods from Korean market."" Food Science and Biotechnology 19(2): 335-341."	0	"Trans fatty acids (t-FA) contents were analyzed in 26 food items that were collected from Korean grocery stores in 2005 and 2008. Lipid was extracted through Soxhlet and Mojonnier methods. Fatty acid profile, including t-FA and positional fatty acid composition was analyzed by gas chromatography. The comparative study of fatty acids composition including t-FA was employed in 2005 and 2008. Among the analyzed food items, most of the food items showed higher lipid content in 2005 than in 2008. Some food items such as biscuits (0.4-7.2 g/100 g of food), fried snacks (0.1-3.6 g/100 g of food), and cookies (0.4-2.4 g/100 g of food) contained relatively higher level of t-FA than other food groups (cracker, processed chocolate, and ice cream) in 2005. Comparing t-FA content in 2005, it was considerably decreased up to 91.5% in 2008 whereas saturated fatty acids (SFA) were increased up to 43.3% in the analyzed food items."
"Akoz, M., et al. (2011). ""The effects of trans-9 18:1 octadecenoic acid isomer on levels of sICAM-1, sVICAM-1 and IGF-1."" Turkish Journal of Biochemistry-Turk Biyokimya Dergisi 36(1): 1-5."	2	"Objective: The effects of trans-9 18: 1 octadecenoic acid isomer from the fatty acid isomers taken with diet on soluble cell adhesion molecules (sICAM-1: Soluble intercellular adhesion molecule-1 and sVCAM-1: Soluble vascular cell adhesion molecule-1) and insulin like growth factor-1 (IGF-1) levels were investigated on rats. Method: The rats which were fed for two weeks by the same diet were separated into experimental and control groups. Fifty mg/day trans-9 18: 1 octadecenoic acid isomer was added to the diet of experimental group for 10 days. Following the completion of special diet, fatty acid composition in both groups was studied by gas chromatography analysis. Results: Trans-9 18: 1 fatty acid level in the experimental group was higher than control group (p<0.01). The soluble cell adhesion molecules (sICAM-1 and sVCAM-1) increased (p<0.01) and IGF-1 levels decreased (p<0.05) in rats fed with trans-9 18: 1 octadecenoic acid. Conclusion: Our results indicate that, high levels of dietary trans fatty acid isomers are a factor in the increasing of cell adhesion molecules (sICAM-1, sVCAM-1) levels and decreasing of IGF-1 levels. Hence, measurement of these parameters may be beneficial in patients with coronary artery disease and atherosclerosis, as well as in other pathological cases. We believe that these parameters may also be useful for early diagnosis."
"Alavian, S. M., et al. (2008). ""Hypertriglyceridemic waist phenotype and associated lifestyle factors in a national population of youths: CASPIAN study."" Journal of Tropical Pediatrics 54(3): 169-177."	0	"The objectives of the current study, that is the first of its kind, were to determine the prevalence of the hypertriglyceridemic waist (HW) phenotype in a nationally representative sample of children, as well as the metabolic risk factors identified by HW, and to identify lifestyle habits related to this phenotype. This national survey was conducted on 4811 representative school-students. We assessed the sensitivity and specificity of the HW phenotype for abnormal anthropometric and biochemical factors by using receiver operator characteristic curves. We determined the association of dietary patterns (obtained by factor analysis), physical activity level and some environmental factors with the HW phenotype. Overall, 8.52% of participants had the HW phenotype. Those children with the HW phenotype were more likely to have cardiovascular risk factors, notably for overweight and hypercholesterolemia. The dietary pattern characterized by junk foods increased the odds of having the HW phenotype, OR = 1.426 (95% CI, 1.109, 1.892), whereas the other dietary pattern including healthy foods decreased this odds, OR = 0.874 (95% CI, 0.765, 0.998). The risk of the HW phenotype rose with the consumption of solid hydrogenated fat as well as white-flour bread. Low education of parents and a positive family history of diabetes mellitus, obesity and or premature cardiovascular disease were the other risk factors for the HW phenotype. Low levels of physical activity significantly increased the risk of having the HW phenotype. The HW phenotype can be used as an accurate and easy tool for screening children at metabolic risk in population-based studies."
"Alcalde, S. M., et al. (2014). ""TRANS FATTY ACID CONTENT IN FOODS MARKETED IN THE COMMUNITY OF MADRID (SPAIN)."" Nutricion Hospitalaria 29(1): 180-186."	0	"Introduction: As a consequence of the scientific evidence which show that the high consumption of trans fatty acids is a risk factor of certain illnesses, sanitary authorities recommend less than 1% intake of trans fatty acids of the total energy intake. Moreover, the European Commission must present, by December 2014, a report about the presence of trans fatty acids in the aliments as well as in the diet of the European Union population. Thus, this study can provide useful information to reach this objective. Objectives: To determine trans fatty acid presence in some types of foods in the Community of Madrid. Methods: 170 samples of different foods commonly consumed by children and adolescents were selected and analized. All foods had been purchased in big shopping centers in the Community of Madrid during february of 2010. Results are shown as the percentage of each fatty acid compared to the total amount of fat in the aliment. Results: Only 33 products (19.4%) showed the presence of trans fatty acids over the method detection limit (>= 0.1g per 100g). The highest levels were found in dairy products, with an average content of 0,4%. Discusion/conclusiones: The trans fatty acid content of the analyzed foods can be considered low, compared with the amount reported by other authors in food products marketed in Spain and other countries in the past few years. Further studies should be undertaken to control nutrition security and diet quality of fat intake in the Spanish population, particularly among children and adolescents."
"Aldamiz-Echevarria, L., et al. (2004). ""Influence of diet on atherogenic risk in children with renal transplants."" Pediatric Nephrology 19(9): 1039-1045."	2	"Cardiovascular disease is one of the main causes of morbidity and mortality in recipients of renal transplants. Although the risk for cardiovascular disease is in part genetically determined, it may also be influenced by diet. The aim of the present study was to analyze the cross-sectional association of dietary intake of nutrients with biochemical markers of atherogenic risk. The influence of diet on the plasma profile of fatty acids was specifically investigated. Twenty-nine children and adolescents (mean age 14 years, range 6-18 years) with stable renal transplants and on a normal diet recorded their food intake for a period of 3 days. The mean calorie intake was 40.6 kcal/kg per day (protein provided 16% of total calories, carbohydrates 45%, and fat 39%). Plasma levels of total cholesterol and low-density lipoprotein-cholesterol were significantly and positively related to intake of monounsaturated fatty acids ( r =0.66, P =0.007 and r =0.62, P =0.02, respectively) and to plasma levels of elaidic acid, a trans fatty acid ( r =0.43, P =0.02 and r =0.54, P =0.01, respectively). Insulin resistance, estimated from values of plasma glucose ( r =0.70, P =0.03), plasma insulin ( r =0.59, P =0.02), and HOMA index ( r =0.62, P =0.01), was also directly related to the intake of monounsaturated fatty acids. Plasma plasminogen activator inhibitor-1 activity correlated positively with total fat intake ( r =0.59, P =0.04). Plasma levels of homocysteine were negatively related to the intake of carbohydrates ( r =-0.62, P =0.02). We conclude that reasonable dietary recommendations to minimize the atherogenic risk in children with stable renal transplants should include a protein intake adjusted to the requirements for age, a large intake of carbohydrates leading to a low glycemic load, and a fat intake of less than 30% of the total calorie intake. The amount of monounsaturated and trans fatty acids in the diet should be especially limited. A sufficient intake of polyunsaturated fatty acids, with an adequate ratio between omega6 and omega3 components, should also be provided."
